Date,Open,High,Low,Close,ema3,ema21
2020-12-01,1928.3223688174114,1954.0618472924077,1918.086287999943,1942.7822265625,,
2020-12-02,1946.3598911612714,1949.838195791889,1923.0055600699823,1946.0120849609375,,
2020-12-03,1959.7761600765914,1968.8197276276053,1946.5089370081712,1951.87548828125,1948.1363220214844,
2020-12-04,1956.7948188512305,1956.7948188512305,1927.9745802800342,1934.6827392578125,1941.4095306396484,
2020-12-07,1928.5708879682038,1952.819665327106,1928.5708879682038,1946.061767578125,1943.7356491088867,
2020-12-08,1948.993459050394,2001.7642842317302,1937.9125502057211,1981.391357421875,1962.5635032653809,
2020-12-09,1997.4908759339817,2021.1931340079786,1986.8572505413204,2014.385498046875,1988.474500656128,
2020-12-10,2009.068678782474,2015.9259319980165,1988.5963963165052,1994.5592041015625,1991.5168523788452,
2020-12-11,2000.5221425731067,2025.3671766338755,1962.012339778915,1993.3668212890625,1992.4418368339539,
2020-12-14,1995.503237276494,2002.5095848457004,1974.037153830701,1978.95654296875,1985.699189901352,
2020-12-15,1977.3665209762855,1977.3665209762855,1948.943826292565,1962.1116943359375,1973.9054421186447,
2020-12-16,1975.6770725704916,1982.5839433882772,1953.5152540660001,1964.298095703125,1969.1017689108849,
2020-12-17,1972.1987129315778,1992.5716399233124,1964.8942975167809,1973.2918701171875,1971.1968195140362,
2020-12-18,1967.8259801609918,1992.4723015563568,1952.8196044101855,1979.205078125,1975.200948819518,
2020-12-21,1997.5406736378338,2009.4662895998508,1843.7499177943241,1927.6763916015625,1951.4386702105403,
2020-12-22,1936.9188737587335,1946.7575316028945,1876.7441521670412,1924.695068359375,1938.0668692849576,
2020-12-23,1918.0365352490476,1939.3535249003244,1908.7445172296098,1931.8006591796875,1934.9337642323226,
2020-12-24,1934.931183600567,1986.4101408628017,1933.8380264036334,1981.7889404296875,1958.361352331005,
2020-12-28,1994.2610295333689,2005.4910328014678,1982.931791711167,1990.8822021484375,1974.6217772397213,
2020-12-29,1996.5468418628077,1999.8264347278082,1970.2608456061464,1977.71435546875,1976.1680663542356,
2020-12-30,1982.882042839186,1994.7579198428277,1963.3042057643736,1983.1304931640625,1979.649279759149,1964.2889049218313
2020-12-31,1981.1428965692544,1999.4288647983092,1966.3352328990118,1972.9937744140625,1976.3215270866058,1965.0802566938523
2021-01-01,1975.6769543533803,1984.6211659173543,1969.7141466440642,1975.1800537109375,1975.7507903987716,1965.9984200590418
2021-01-04,1982.7329328335293,1986.5094262674918,1955.8009420908386,1978.50927734375,1977.1300338712608,1967.135770721288
2021-01-05,1956.7947677711772,1971.3042425482975,1943.8753508178886,1953.9127197265625,1965.5213767989117,1965.933675176313
2021-01-06,1953.7140171330684,1953.8133730012162,1893.3405876265456,1902.3841552734375,1933.9527660361746,1960.1564460942334
2021-01-07,1908.5954851198646,1932.943618098483,1893.3406587204788,1899.303466796875,1916.6281164165248,1954.624357067201
2021-01-08,1906.1108692893763,1926.3844398156605,1900.2474174308168,1921.7135009765625,1919.1708086965436,1951.632461058961
2021-01-11,1926.7821189203132,1926.7821189203132,1880.7690675790518,1885.4896240234375,1902.3302163599906,1945.6194758739134
2021-01-12,1891.2039347925424,1947.850610716439,1888.123174926076,1944.9189453125,1923.6245808362453,1945.5557912774211
2021-01-13,1951.3786878866463,1962.7079262174234,1906.5581499836085,1926.7821044921875,1925.2033426642165,1943.8490924787634
2021-01-14,1932.943622641721,1954.7078964344512,1927.0305531441861,1948.4468994140625,1936.8251210391395,1944.2670749274268
2021-01-15,1948.4468323029978,1961.565082438251,1908.1482618015034,1925.4403076171875,1931.1327143281635,1942.555550626496
2021-01-18,1937.0181475307138,1984.621255487919,1911.4277632899457,1971.652099609375,1951.3924069687691,1945.2006914431213
2021-01-19,1982.285822319785,2018.4104759501085,1982.285822319785,2003.9010009765625,1977.6467039726658,1950.5370832188885
2021-01-20,2008.8699901766697,2045.2430938215562,1988.9939639976458,2041.9635009765625,2009.8051024746142,1958.8485757423132
2021-01-21,2069.0944280254935,2106.858879641713,2062.1378185172425,2086.386474609375,2048.095788541995,1970.442930184773
2021-01-22,2097.914567104244,2102.2376998571444,2022.5347619425957,2036.895263671875,2042.495526106935,1976.4840514108732
2021-01-25,2022.3359703264518,2022.3359703264518,1920.0241718085874,1928.9683837890625,1985.7319549479987,1972.1644452634357
2021-01-27,1913.0675802507626,1913.0675802507626,1876.2969306563325,1883.2535400390625,1934.4927474935307,1964.0816356975836
2021-01-28,1868.4956293412902,1911.378181784823,1858.4085213929266,1864.91796875,1899.7053581217654,1955.0667568841668
2021-01-29,1882.5579463711686,1901.24133896835,1818.656471022358,1830.5323486328125,1865.1188533772888,1943.7454470431344
2021-02-01,1847.874145125279,1893.1914597414013,1836.5447861428397,1883.5516357421875,1874.3352445597382,1938.273282379412
2021-02-02,1902.3842168851797,1927.9746014142609,1843.451748842267,1913.8626708984375,1894.098957729088,1936.0541358811415
2021-02-03,1916.3472082575872,1939.900251930259,1888.2225812845759,1918.6826171875,1906.390787458294,1934.4749069089924
2021-02-04,1912.0736372663916,1927.974457534719,1893.1914131977526,1912.371826171875,1909.3813068150844,1932.4655359328908
2021-02-05,1918.0863143160716,1932.5957895380943,1908.0985623781676,1911.8253173828125,1910.6033120989484,1930.5891524283381
2021-02-08,1921.067668593115,1956.7947771207282,1917.0924633577251,1939.353515625,1924.9784138619743,1931.3859127189437
2021-02-09,1949.788511177793,1977.2671427831117,1940.1984251959398,1944.0245361328125,1934.5014749973934,1932.5348784838409
2021-02-10,1941.6393458891246,1972.4471870778964,1915.3533492712572,1962.06201171875,1948.2817433580717,1935.219163323378
2021-02-11,1967.7266833940075,2051.4047089805586,1960.0247228908238,2042.9573974609375,1995.6195704095046,1945.0135482449743
2021-02-12,2042.7585644289518,2065.1190935944355,2002.907156712306,2028.9447021484375,2012.282136278971,1952.6436531452891
2021-02-15,2035.3549140778518,2048.5227820344785,2012.4477443146407,2020.0006103515625,2016.1413733152667,1958.767012891314
2021-02-16,2027.106309994936,2066.5104365946167,2022.3857535676896,2046.73388671875,2031.4376300170084,1966.7640014210808
2021-02-17,2047.230788450288,2082.9578985873495,2037.8891527772048,2070.336669921875,2050.8871499694415,1976.1796985575165
2021-02-18,2072.0756227876714,2095.33047517237,2046.3362672581434,2054.8828125,2052.8849812347207,1983.3345270977422
2021-02-19,2044.2494089539036,2091.902135906978,2040.5723924267943,2067.405029296875,2060.145005265798,1990.977300024936
2021-02-22,2067.106680676496,2076.945216384578,1982.5838325397274,1995.65234375,2027.898674507899,1991.4023039999418
2021-02-23,2035.3050974227835,2040.1746268256684,2001.1183078517827,2010.9072265625,2019.4029505351996,1993.1754787783561
2021-02-24,2017.4165266500638,2052.44802052416,2013.590416120867,2048.224365234375,2033.8136578847873,1998.1799230016304
2021-02-25,2063.1316834823706,2138.660589043382,2060.1502793154887,2131.05810546875,2082.4358816767685,2010.2597577713686
